,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type
10279872,True,False,750.0,2.0,85.0,,,,True,,,,,,,,"
                                    Fraîchement rénové
                                ",2050,Appartement
10289464,True,False,1500.0,4.0,203.0,True,,,,,True,500.0,,,3.0,False,"
                                    Fraîchement rénové
                                ",3150,Maison
10301696,True,False,1050.0,2.0,110.0,False,,,True,,,,,,2.0,,"
                                    Bon
                                ",1420,Appartement
10281636,True,False,1100.0,2.0,100.0,True,False,,,,"[1, '\n                                    Bon\n                                ', 1, 100, True, '\n                                    Équipée\n                                ', 2, 1, False, False, False, '\n                                        Connecté\n                                    ', True, True, '\n                                    Sud-ouest\n                                ', 94, '\n                                                                    A\n                                                            ', 20090802, False, False, False, 1100, False, '           Assurez ce bien Assurez ce bien contre les incendies avec Immoweb Protect \n        Voir mon devis\n    ', 2, '\n                                                    http://www.immomatch.com\n                                                ', 2306]",,,,,,"
                                    Bon
                                ",9820,Maison
10266249,True,False,750.0,1.0,65.0,True,False,,,,,,,,,False,"
                                    Excellent état
                                ",2600,Duplex
10165038,True,False,1800.0,4.0,160.0,True,False,,,,True,1900.0,,,4.0,False,,1780,Maison
10198020,True,False,1250.0,3.0,150.0,,False,,,,"[2022, 762, 150, 40, 11, 3, 14, 14, 17, False, 1, 1, False, False, False, 428, 1119, False, True, True, '\n                                    Sud\n                                ', 12, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, 1250, False, '           Assurez ce bien Assurez ce bien contre les incendies avec Immoweb Protect \n        Voir mon devis\n    ', 23, '\n                                                    http://www.nobels.be\n                                                ', 3337532]",,,,,False,,9890,Maison
10290824,True,False,875.0,2.0,80.0,True,False,,,,,,,,4.0,,,4600,Appartement
10287982,True,False,790.0,2.0,97.0,True,,,,,True,600.0,,,4.0,False,"
                                    Bon
                                ",2440,Rez-de-chaussée
10288248,True,False,780.0,2.0,91.0,,False,,,,,,,,,,,3440,Appartement
10278929,True,False,1300.0,3.0,,,,,True,,,,,,2.0,,"
                                    Excellent état
                                ",7332,Maison
10289790,True,False,795.0,2.0,85.0,True,,,,,,,,,2.0,False,"
                                    Fraîchement rénové
                                ",2900,Appartement
10290903,True,False,1250.0,1.0,80.0,,False,,,,,,,,2.0,False,,1050,Appartement
10261951,True,False,850.0,2.0,90.0,True,False,,True,,,,,,2.0,False,"
                                    Excellent état
                                ",1731,Appartement
10198018,True,False,1350.0,3.0,150.0,,False,,,,"[2022, 762, 150, 40, 11, 3, 14, 14, 17, False, 1, 1, False, False, False, 357, 1119, False, True, True, '\n                                    Sud\n                                ', 12, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, 1350, False, '           Assurez ce bien Assurez ce bien contre les incendies avec Immoweb Protect \n        Voir mon devis\n    ', 23, '\n                                                    http://www.nobels.be\n                                                ', 3344817]",,,,,False,,9890,Maison
10290773,True,False,1400.0,1.0,65.0,True,True,,,,,,,,,False,"
                                    Excellent état
                                ",1000,Appartement
10248122,True,False,800.0,1.0,95.0,True,False,,,,True,77.0,,,2.0,False,"
                                    Excellent état
                                ",2200,Rez-de-chaussée
10238216,True,False,890.0,1.0,65.0,True,,,,,True,100.0,,,,False,"
                                    Excellent état
                                ",1970,Rez-de-chaussée
10294990,True,False,600.0,1.0,48.0,True,False,,True,,,,,,2.0,,"
                                    Bon
                                ",7000,Duplex
10198017,True,False,1350.0,3.0,150.0,,False,,,,"[2022, 762, 150, 40, 11, 3, 14, 14, 17, False, 1, 1, False, False, False, 357, 1119, False, True, True, '\n                                    Sud\n                                ', 12, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, 1350, False, '           Assurez ce bien Assurez ce bien contre les incendies avec Immoweb Protect \n        Voir mon devis\n    ', 23, '\n                                                    http://www.nobels.be\n                                                ', 3344819]",,,,,False,,9890,Maison
10268902,True,False,850.0,1.0,75.0,True,,,,,,,,,1.0,False,"
                                    Fraîchement rénové
                                ",2000,Appartement
