Taxe,A-Taxe,INS
7.5,92.5,41002
5.9,94.1,44084
8,92,24001
4.9,95.1,11001
7,93,23105
8.5,91.5,52074
7,93,73001
8,92,38002
8.5,91.5,61003
6,94,63001
8.6,91.4,92003
5.5,94.5,21001
8.8,91.2,56001
8.5,91.5,91005
8.5,91.5,62003
8.5,91.5,61079
7,93,57003
8,92,11002
8,92,34002
6,94,37020
7,93,13001
7,93,81001
7.5,92.5,71002
6.9,93.1,23002
7,93,43002
8.5,91.5,92006
8.8,91.2,51004
7,93,81003
8,92,81004
7.7,92.3,63003
6,94,21002
7,93,34003
8.5,91.5,62006
8.6,91.4,62009
7.2,92.8,13002
7.7,92.3,63004
8,92,13003
8,92,62011
7.5,92.5,82003
8.8,91.2,56005
8,92,91013
7,93,25005
7.8,92.2,31003
6.9,93.1,13004
6.9,93.1,23003
8,92,24007
7.6,92.4,24008
8.5,91.5,51008
6.8,93.2,21003
7.6,92.4,71004
7.8,92.2,12002
7,93,42003
8.5,91.5,64008
8.5,91.5,51009
7.5,92.5,24009
7,93,82005
8,92,84009
8,92,23009
5,95,46003
8.5,91.5,62015
7,93,24011
6,94,91015
7.9,92.1,73006
8,92,58002
6,94,31004
8.5,91.5,62119
8,92,72003
6.9,93.1,11004
7.5,92.5,12005
7.9,92.1,11005
5.8,94.2,24014
8.5,91.5,73009
7.3,92.7,12007
7,93,11007
8,92,84010
8.5,91.5,53014
7.6,92.4,24016
5.9,94.1,25014
8,92,25015
8.8,91.2,55004
8,92,64015
8,92,45059
6,94,11008
7,93,11009
7,93,35002
8,92,72004
8.5,91.5,51012
6.9,93.1,31005
8.2,91.8,57093
6,94,21004
7.8,92.2,42004
6,94,63012
8,92,61010
7,93,63087
6,94,63013
8.2,91.8,57018
6,94,93010
8.8,91.2,52010
8.5,91.5,52011
8.3,91.7,25117
8,92,52012
8,92,62022
8,92,25018
8.8,91.2,51014
8,92,56016
8,92,85007
8,92,91030
8.5,91.5,61012
8.5,91.5,53082
8.5,91.5,62026
7.5,92.5,57097
8.8,91.2,52015
8,92,25023
8.5,91.5,93014
8,92,64021
7.5,92.5,62027
