Province,Model,R2,MSE,MAE,MAEP
Belgique,XGBoostSE,0.6011479499957204,1054082.7085262334,770.1459041014311,0.7955405516248638
Bruxelles-Capitale,XGBoostSE,0.3249479625131666,984378.209725598,729.9647444681736,0.8197858237055945
Province d'Anvers,XGBoostSE,0.5050373475037,695801.0572191187,635.4976609225251,0.8319800686770242
Province de Flandre-Occidentale,XGBoostSE,0.6321525105253729,1516085.1479246316,944.8780757727995,0.8132120959662162
Province de Flandre-Orientale,XGBoostSE,0.6068847549225049,836908.5870496823,721.273699219517,0.8305331160643215
Province de Limbourg,XGBoostSE,0.6328459498340764,573336.5205421913,580.4355971831973,0.8414187329280371
Province de Liège,XGBoostSE,0.3982890909411135,538363.531680545,566.4002794148888,0.7772787544252225
Province de Luxembourg,XGBoostSE,0.5467631804050233,625537.8020626819,657.6557109457511,0.7920469856779186
Province de Namur,XGBoostSE,0.5029736571953717,577347.6907526186,595.0085676029948,0.783493512951583
Province du Brabant flamand,XGBoostSE,0.6347808419443719,702516.832336506,652.9854049772132,0.8634189663700436
Province du Brabant flamand 2,XGBoostSE,0.8881649571639297,2794071.1269699386,992.3463295170882,0.8539542911320825
Province du Brabant wallon,XGBoostSE,0.7263993338709888,880901.7339340729,705.7416802654292,0.8744484869157397
Province du Hainaut 1,XGBoostSE,0.5063654681921292,291272.1885140873,417.7619803899412,0.795417059064376
Province du Hainaut 2,XGBoostSE,0.4299073479256499,354904.1310308775,477.0074562241825,0.7706840691368749
Region Flamande,XGBoostSE,0.6019423707629392,1006036.8039373484,736.4707597940599,0.8211306534067695
Region Wallone,XGBoostSE,0.4775323673032571,633641.9060383972,629.8402835325952,0.7670109424379518
