Model,R2,MSE,MAE,MAEP
DecisionTreeRegressor,0.27347191165535006,528686.7372915718,499.0202225031545,0.7738472569990548
ElasticNet,0.35896795227014333,512914.254324713,513.9031957287827,0.7676904741298047
GradientBoostingRegressor,0.5523403837623595,327849.1324065845,431.6316435064487,0.8047669702210948
KNeighborsRegressorK10,0.4440732605430191,413118.38425358833,481.4245591247137,0.782767797314427
KNeighborsRegressorK100,0.4209213463811328,453743.2924162934,495.4887945397121,0.7764861770993726
KNeighborsRegressorK101,0.42049119408123464,454547.5226922437,495.7162936830181,0.776391630306254
KNeighborsRegressorK102,0.4199395067726588,455285.05199487886,495.9212696088077,0.7762996783322585
KNeighborsRegressorK103,0.4197638334371679,455207.7376067984,495.9665616140532,0.7762648136390856
KNeighborsRegressorK104,0.4191474355454796,456108.77560232097,496.14287968885344,0.7761889737558858
KNeighborsRegressorK105,0.4188220808405016,456724.843149697,496.29539758052744,0.7761204096695896
KNeighborsRegressorK106,0.41819969744813523,457555.58381514804,496.5059917872754,0.7760372170314996
KNeighborsRegressorK107,0.41798809439384554,457658.81269048876,496.640724263509,0.7759785870927235
KNeighborsRegressorK108,0.4179718001054076,457921.9623013433,496.535123452745,0.7760349165741139
KNeighborsRegressorK109,0.41738553694241615,458671.4250400799,496.75733045962676,0.7759405382330716
KNeighborsRegressorK11,0.44707472603556236,411935.7386260239,480.65406552459945,0.7831090495526299
KNeighborsRegressorK110,0.4170598541234608,458969.48544937506,496.83378250637315,0.7759005850695435
KNeighborsRegressorK111,0.4167263353155976,459513.35821439914,496.9061009995108,0.7758666477897651
KNeighborsRegressorK112,0.4161730816404022,460239.1016591376,497.15296634411243,0.7757566627881874
KNeighborsRegressorK113,0.41597168464718637,460391.3832178862,497.20934836155254,0.7757287223499878
KNeighborsRegressorK114,0.41547652684964426,460905.31502010004,497.3295731921807,0.7756703127259016
KNeighborsRegressorK115,0.4150556845080206,461366.596017934,497.5073436284831,0.7755965506598494
KNeighborsRegressorK116,0.4146072218123541,461909.0070428422,497.8036939727731,0.7754782226399106
KNeighborsRegressorK117,0.4141432473858941,462410.8431953637,498.05954637405034,0.7753681705176113
