Province,Model,R2,MSE,MAE,MAEP
Belgique,DecisionTreeRegressor,-0.0129144649833659,415062.7359997824,470.2406996718007,0.6651425390638259
Bruxelles-Capitale,DecisionTreeRegressor,-0.1237679548069501,591320.0436891445,609.7157675511374,0.784243737575222
Province d'Anvers,DecisionTreeRegressor,-0.0043468834087843,342904.96897049726,432.0670823991781,0.7528710755950022
Province de Flandre-Occidentale,DecisionTreeRegressor,-0.0281256223373636,542431.8812578407,495.06883869149226,0.6435004961985522
Province de Flandre-Orientale,DecisionTreeRegressor,-0.019693348107298,322647.5144867538,409.3118068484768,0.7013719022360365
Province de Limbourg,DecisionTreeRegressor,0.0065422636900118,211889.05972686564,336.8114792644859,0.7267129592613966
Province de Liège,DecisionTreeRegressor,-0.0525017364115214,307780.2143644115,412.1066173867199,0.6938914096426465
Province de Luxembourg,DecisionTreeRegressor,0.0046173382155707,284831.9292954728,400.8443174161289,0.6588164493415432
Province de Namur,DecisionTreeRegressor,-0.0170846477064932,282136.80337084446,402.5339920769986,0.6799693509839213
Province du Brabant flamand,DecisionTreeRegressor,0.0013176750576266,256911.1314157387,364.46893959838735,0.7553003510934622
Province du Brabant flamand 2,DecisionTreeRegressor,-0.0673650787348139,292753.6888710076,397.542089226152,0.6354400526019444
Province du Brabant wallon,DecisionTreeRegressor,-0.0477598588364691,230029.141855281,323.2258801824083,0.725866828009104
Province du Hainaut 1,DecisionTreeRegressor,-0.006461998368797,142858.8567067978,289.8976493260268,0.7051822436023062
Province du Hainaut 2,DecisionTreeRegressor,-0.0505050958770956,192600.90987241355,350.9004059417141,0.6882722077247493
Region Flamande,DecisionTreeRegressor,-0.010676764893746,396230.16874503065,452.1541871556127,0.708656809266599
Region Wallone,DecisionTreeRegressor,-0.0206147401939587,324370.5715659357,420.67117565535983,0.6511624694840132
