Province,Model,R2,MSE,MAE,MAEP
Bruxelles-Capitale,LinearRegression,0.2563759098387529,651386.5673518917,647.037867621289,0.8087545007848606
Province du Brabant wallon,LinearRegression,0.404407267089266,500743.24447037786,514.0708786173155,0.8003180419633
Province du Brabant flamand,LinearRegression,0.511988069053513,343288.93914361636,439.1142937548598,0.835446377985422
Province d'Anvers,LinearRegression,0.4273539548568096,396723.2140658765,463.7422380420825,0.8196624039148463
Province du Brabant flamand 2,LinearRegression,0.6308685774035206,966285.5479183306,633.8578220923437,0.7671385811521241
Province de Limbourg,LinearRegression,0.42848118010754044,329830.44939445576,415.97411110615195,0.8041465161686293
Province de Liège,LinearRegression,0.23900900419923066,389253.3246293961,496.63202040523635,0.731597364588844
Province de Namur,LinearRegression,0.364138580130831,360946.47896611074,460.378129867314,0.7523815290798453
Province du Hainaut 1,LinearRegression,0.2198754528126423,225769.66099177036,379.69610590117156,0.7320456161419042
Province de Luxembourg,LinearRegression,0.2705760793030386,458398.8185073879,516.5622141880358,0.7320139893269987
Province du Hainaut 2,LinearRegression,0.24134483864798495,256305.13535674286,421.4752164608992,0.7245629245167577
Province de Flandre-Occidentale,LinearRegression,0.5156161491472047,714277.6585053257,634.4423995153774,0.7606268931228566
Province de Flandre-Orientale,LinearRegression,0.456822002869564,445810.82237978367,516.7023950604358,0.7860703176700462
Region Wallone,LinearRegression,0.26607749986754614,455650.9264014905,515.8779026906896,0.7142806226793628
Region Flamande,LinearRegression,0.4483594345131421,549108.0142551165,528.0183245819097,0.791119278798774
Belgique,LinearRegression,0.4247150144339671,598666.4982317903,569.3063547013815,0.7524670592742309
Bruxelles-Capitale,Ridge,0.2554100882889583,652232.5904868587,647.3583858954252,0.8086597649426291
Province du Brabant wallon,Ridge,0.40511511588467664,500148.122195,514.0088637549899,0.8003421305659648
Province du Brabant flamand,Ridge,0.512374857570093,343016.85518191446,438.8954971277708,0.8355283697993623
Province d'Anvers,Ridge,0.4273361800030899,396735.5282993493,463.7445481547377,0.8196615055706181
Province du Brabant flamand 2,Ridge,0.6299693504388093,968639.4792476848,634.18336894321,0.7670189844555906
Province de Limbourg,Ridge,0.428481534686724,329830.2447625041,415.96168657153777,0.804152366024003
Province de Liège,Ridge,0.23890873138711932,389304.61502008355,496.6566849079898,0.7315840347646116
Province de Namur,Ridge,0.3641100917465727,360962.65038596437,460.3707240567098,0.7523855123609327
Province du Hainaut 1,Ridge,0.2200496041951454,225719.2612206944,379.664784368547,0.7320677199819108
Province de Luxembourg,Ridge,0.2707765643264939,458272.8257955058,516.5083628224064,0.7320419267414048
Province du Hainaut 2,Ridge,0.24126686736200287,256331.4772865492,421.484323292875,0.7245569731367754
Province de Flandre-Occidentale,Ridge,0.5156135808923529,714281.445681671,634.442059640922,0.7606270213564117
Province de Flandre-Orientale,Ridge,0.45682500404953574,445808.3591752386,516.6984255800954,0.786071961149303
Region Wallone,Ridge,0.26608814474014897,455644.31760279305,515.8748510173687,0.7142823128510032
Region Flamande,Ridge,0.448355724462708,549111.7072729149,528.0161146186829,0.7911201530462975
Belgique,Ridge,0.42471371262062596,598667.8529551949,569.304821142232,0.75246772606181
Bruxelles-Capitale,Lasso,0.2551328959186172,652475.4005154761,647.4332476119582,0.8086376380052938
Province du Brabant wallon,Lasso,0.40720013855789217,498395.1440935416,513.7696861701468,0.8004350349697085
Province du Brabant flamand,Lasso,0.5130970745170174,342508.81618979323,438.46778930373694,0.835688648962691
Province d'Anvers,Lasso,0.4267748810391877,397124.390373749,463.9948913253201,0.8195641534601661
Province du Brabant flamand 2,Lasso,0.6304634247608152,967346.1272117255,633.7884559991588,0.7671640642909543
Province de Limbourg,Lasso,0.42863794210983797,329739.98013978533,415.5443099388318,0.8043488798584046
Province de Liège,Lasso,0.2375886526001888,389979.84647409664,496.97814577247317,0.7314103026255956
Province de Namur,Lasso,0.36333844307321406,361400.6764447006,460.1774030353522,0.7524894917913176
Province du Hainaut 1,Lasso,0.22215294521798878,225110.54996889553,379.1979900857964,0.732397140201078
Province de Luxembourg,Lasso,0.2705653499515679,458405.5612558747,516.3558233543193,0.7321210623080414
Province du Hainaut 2,Lasso,0.2398580583157699,256807.43133218313,421.6677824981751,0.7244370812309057
Province de Flandre-Occidentale,Lasso,0.5154541172036453,714516.592559475,634.480685163633,0.7606124480690917
Province de Flandre-Orientale,Lasso,0.4568296788838613,445804.5223266435,516.6347947590336,0.7860983061429905
Region Wallone,Lasso,0.26627739717496834,455526.8214812903,515.7829234805912,0.7143332269886891
Region Flamande,Lasso,0.4481345586713963,549331.8577043487,527.988512978016,0.7911310720813771
Belgique,Lasso,0.42458275193251105,598804.1363252235,569.1793104523753,0.7525222977873778
Bruxelles-Capitale,ElasticNet,0.20353398040288673,697674.098219828,668.5260011112523,0.8024032360102077
Province du Brabant wallon,ElasticNet,0.3968902256553314,507063.1800714236,514.5192806348056,0.800143867940681
Province du Brabant flamand,ElasticNet,0.5132130307085698,342427.24753242877,435.92878001758345,0.8366401169069307
Province d'Anvers,ElasticNet,0.421878039710036,400516.8710297289,465.66445406957655,0.8189149028482664
Province du Brabant flamand 2,ElasticNet,0.4718332009131877,1382596.8573956317,654.7840082699802,0.7594508927864367
Province de Limbourg,ElasticNet,0.42331261660630104,332813.2901391548,415.08876453292345,0.8045633647323629
Province de Liège,ElasticNet,0.2208217143488651,398556.2770681483,502.8326522735243,0.7282462598145185
Province de Namur,ElasticNet,0.36406916775376597,360985.8808740036,458.8176139279168,0.7532208664542585
Province du Hainaut 1,ElasticNet,0.2079338921781999,229225.5733917467,384.5209878825182,0.7286406608147188
Province de Luxembourg,ElasticNet,0.2518107282085531,470191.7067394729,512.1058447002222,0.7343258980348418
Province du Hainaut 2,ElasticNet,0.21641636809994902,264727.005191075,428.43823392993846,0.7200125426833603
Province de Flandre-Occidentale,ElasticNet,0.5037619461075906,731757.9943498736,636.5338360714818,0.7598378007377109
Province de Flandre-Orientale,ElasticNet,0.44704240791919125,453837.37958644435,519.6545369401218,0.7848480458544873
Region Wallone,ElasticNet,0.24566776411755575,468322.17575058993,523.9970689395233,0.7097838161426222
Region Flamande,ElasticNet,0.4409181407928746,556515.145408749,529.1402348501608,0.79067545816785
Belgique,ElasticNet,0.41438401279943515,609417.3864471097,571.8988335089946,0.7513398561476219
Bruxelles-Capitale,DecisionTreeRegressor,-0.12376795480695013,984378.209725598,696.9693463439062,0.7939962137467885
Province du Brabant wallon,DecisionTreeRegressor,0.4969685240313205,422922.5768357924,432.8411945211278,0.8318703104260773
Province du Brabant flamand,DecisionTreeRegressor,0.4558359445626152,382788.7997510292,431.2923345064273,0.8383775777752848
Province d'Anvers,DecisionTreeRegressor,0.1895183581152189,561493.2376412704,521.6662362296019,0.7971372299456162
Province du Brabant flamand 2,DecisionTreeRegressor,0.7653226244860107,614321.4652047175,538.1111904101974,0.8023131829734161
Province de Limbourg,DecisionTreeRegressor,0.37371593044793294,361436.1398419318,416.7258366137289,0.8037925805375095
Province de Liège,DecisionTreeRegressor,-0.05250173641152145,538363.531680545,522.7107432780818,0.7175032311869793
Province de Namur,DecisionTreeRegressor,0.12380591454996204,497371.2198157805,498.56577833911587,0.7318419627773598
Province du Hainaut 1,DecisionTreeRegressor,0.16345277177611373,242098.50183621122,347.76741871717513,0.754577929665321
Province de Luxembourg,DecisionTreeRegressor,0.1415732432569804,539469.2988545534,515.6326178818911,0.7324962522544404
Province du Hainaut 2,DecisionTreeRegressor,-0.05050509587709562,354904.1310308775,433.09802384330004,0.716967336569274
Province de Flandre-Occidentale,DecisionTreeRegressor,0.4902284571544898,751714.6233411366,571.9028165975611,0.7842228795784806
Province de Flandre-Orientale,DecisionTreeRegressor,0.39952809039556736,492834.5353658128,476.6545943696756,0.8026512612880559
Region Wallone,DecisionTreeRegressor,0.19857768396370523,497557.7403266181,502.9425305473189,0.7214448885937154
Region Flamande,DecisionTreeRegressor,0.3923625603051789,604847.8099202357,531.3952757076255,0.789783378217749
Belgique,DecisionTreeRegressor,0.41143527053607265,612485.9754930388,546.0476221437382,0.7625798964488089
Bruxelles-Capitale,GradientBoostingRegressor,0.3249479625131666,591320.0436891445,610.3952703590139,0.8195849825180637
